"11";"Disponible";" "
"1105";"Caja";" "
"110505";"Caja general";" "
"110510";"Cajas menores";" "
"110515";"Moneda extranjera";" "
"1110";"Bancos";" "
"111005";"Moneda nacional";" "
"111010";"Moneda extranjera";" "
"1115";"Remesas en transito";" "
"111505";"Moneda nacional";" "
"111510";"Moneda extranjera";" "
"1120";"Cuentas de ahorro";" "
"112005";"Bancos";" "
"112010";"Corporaciones de ahorro y vivienda";" "
"112015";"Organismos cooperativos financieros";" "
"1125";"Fondos";" "
"112505";"Rotatorios moneda nacional";" "
"112510";"Rotatorios moneda extranjera";" "
"112515";"Especiales moneda nacional";" "
"112520";"Especiales moneda extranjera";" "
"112525";"De amortizacion moneda nacional";" "
"112530";"De amortizacion moneda extranjera";" "
"12";"Inversiones";" "
"1205";"Acciones";" "
"120505";"Agricultura, ganaderia, caza y silvicultura";" "
"120510";"Pesca";" "
"120515";"Explotacion de minas y canteras";" "
"120520";"Industria manufacturera";" "
"120525";"Suministro de electricidad, gas y agua";" "
"120530";"Construccion";" "
"120535";"Comercio al por mayor y al por menor";" "
"120540";"Hoteles y restaurantes";" "
"120545";"Transporte, almacenamiento y comunicaciones";" "
"120550";"Actividad financiera";" "
"120555";"Actividades inmobiliarias, empresariales y de alquiler";" "
"120560";"Ensenanza";" "
"120565";"Servicios sociales y de salud";" "
"120570";"Otras actividades de servicios comunitarios, sociales y personales";" "
"120599";"Ajustes por inflacion";" "
"1210";"Cuotas o partes de interes social";" "
"121005";"Agricultura, ganaderia, caza y silvicultura";" "
"121010";"Pesca";" "
"121015";"Explotacion de minas y canteras";" "
"121020";"Industria manufacturera";" "
"121025";"Suministro de electricidad, gas y agua";" "
"121030";"Construccion";" "
"121035";"Comercio al por mayor y al por menor";" "
"121040";"Hoteles y restaurantes";" "
"121045";"Transporte, almacenamiento y comunicaciones";" "
"121050";"Actividad financiera";" "
"121055";"Actividades inmobiliarias, empresariales y de alquiler";" "
"121060";"Ensenanza";" "
